TICKER	FECHA	APERTURA	MAXIMO	MINIMO	ULTIMO	VOLUMEN
I IB	18/10/1990	2208.03	2268.51	2208.03	2268.51	3125
I IB	19/10/1990	2268.76	2310.8899	2268.76	2306.8	3526
I IB	22/10/1990	2309	2342	2309	2311	3475
I IB	23/10/1990	2331.8799	2406.8301	2331.8799	2398.47	4630
I IB	24/10/1990	2398.47	2398.73	2371.74	2391.6201	3256
I IB	25/10/1990	2391.6201	2417.22	2390.4299	2406.6001	3379
I IB	26/10/1990	2406.6001	2406.6001	2320.98	2358.6699	3822
I IB	29/10/1990	2358.6699	2362.8	2335.6001	2352.54	3742
I IB	30/10/1990	2352.54	2352.73	2311.01	2315.8999	2964
I IB	31/10/1990	2315.75	2315.75	2282.8999	2303.6899	2547
I IB	02/11/1990	2285.74	2285.74	2262.8701	2264.9299	3316
I IB	05/11/1990	2264.9299	2275.27	2263.8999	2273.23	1990
I IB	06/11/1990	2273.23	2276.3799	2261.6201	2275.6699	2770
I IB	07/11/1990	2267.4399	2267.4399	2256.5801	2265.04	2822
I IB	08/11/1990	2247.6201	2247.6201	2237.54	2243.25	3855
I IB	12/11/1990	2253.95	2296.3899	2253.95	2295.78	3710
I IB	13/11/1990	2295.78	2332.6799	2293.8799	2303.9299	4253
I IB	14/11/1990	2296.3	2296.3	2274.79	2295.24	2452
I IB	15/11/1990	2295.24	2302.55	2288.95	2299.49	2362
I IB	16/11/1990	2299.49	2304.1201	2288.71	2302.9199	1943
I IB	19/11/1990	2315.78	2337.3999	2315.78	2324.5801	2647
I IB	20/11/1990	2316.74	2316.74	2311.3701	2315.3	2169
I IB	21/11/1990	2310.5901	2310.5901	2298.71	2309.6799	2218
I IB	22/11/1990	2309.6799	2317.1499	2308.1799	2313.47	1867
I IB	23/11/1990	2307.3999	2307.3999	2296.4199	2298.1899	2154
I IB	26/11/1990	2290.02	2290.02	2259.48	2264.01	2570
I IB	27/11/1990	2264.01	2275.48	2260.1299	2273.02	2479
I IB	28/11/1990	2273.02	2278.6699	2267.8701	2278.53	3102
I IB	29/11/1990	2274.47	2274.47	2268.0701	2273.0801	3899
I IB	30/11/1990	2273.0801	2290.7	2271.8701	2289.0701	2895
I IB	03/12/1990	2323.1899	2351.52	2323.1899	2343.79	4903
I IB	04/12/1990	2337.27	2337.27	2328.6699	2335.53	2780
I IB	05/12/1990	2345.1399	2360.1101	2345.1399	2358.72	3123
I IB	07/12/1990	2392.9199	2420.01	2392.9199	2409.53	6101
I IB	10/12/1990	2419.6699	2426.02	2419.6699	2425.3	3854
I IB	11/12/1990	2416.8101	2416.8101	2408.78	2415.1201	3886
I IB	12/12/1990	2415.1201	2426.8999	2405.72	2425.3	3926
I IB	13/12/1990	2427.4299	2442.76	2427.4299	2429.3501	7810
I IB	14/12/1990	2411.6799	2411.6799	2391.8201	2396.0801	5350
I IB	17/12/1990	2365.5801	2365.5801	2335.23	2348.5801	4131
I IB	18/12/1990	2348.5801	2355.8501	2335.28	2355.47	6799
I IB	19/12/1990	2355.47	2356.3	2328.5901	2332.76	4058
I IB	20/12/1990	2294.71	2294.71	2249.1201	2282.8701	5044
I IB	21/12/1990	2282.8701	2291.8501	2266.28	2288.5701	3774
I IB	26/12/1990	2257	2257	2257	2257	8200
I IB	27/12/1990	2248.1101	2248.1101	2227.1499	2236.8	6226
I IB	28/12/1990	2236.8	2258.1299	2230.71	2243.9399	7534
I IB	02/01/1991	2211.3101	2211.3101	2198.7	2207.97	2442
I IB	03/01/1991	2207.97	2234.77	2196.5	2228.0901	2243
I IB	04/01/1991	2241.1699	2250.72	2241.1699	2249.3701	1681
I IB	07/01/1991	2232.8201	2232.8201	2214.45	2226.6699	2039
I IB	08/01/1991	2206.71	2206.71	2184.2	2206.71	2210
I IB	09/01/1991	2206.71	2269.8799	2205.1399	2265.6499	2458
I IB	10/01/1991	2220.3	2220.3	2190.8101	2198.1399	3019
I IB	11/01/1991	2198.1399	2214.26	2192.29	2196.3601	3207
I IB	14/01/1991	2168.9299	2168.9299	2127.52	2152.1299	2534
I IB	15/01/1991	2152.1299	2153.71	2125.73	2153.3301	2037
I IB	16/01/1991	2153.3301	2160.1101	2149.3301	2160.1101	1764
I IB	17/01/1991	2183.6799	2336.01	2183.6799	2309.6799	6500
I IB	18/01/1991	2292.6699	2292.6699	2270.21	2278.04	4986
I IB	21/01/1991	2253.47	2253.47	2242.28	2250.1201	2020
I IB	22/01/1991	2232.45	2232.45	2227.29	2232.45	1688
I IB	23/01/1991	2219.0601	2219.0601	2207.29	2218.5601	2375
I IB	24/01/1991	2232.4399	2259.6299	2232.4399	2259.6299	2969
I IB	25/01/1991	2272.96	2284.55	2272.96	2277.3999	5072
I IB	28/01/1991	2277.3999	2291.5	2268.27	2290.98	3000
I IB	29/01/1991	2290.98	2293.79	2282.54	2293.3	3653
I IB	30/01/1991	2310.9399	2347.2	2310.9399	2346.48	7913
I IB	31/01/1991	2346.48	2357.05	2322.23	2333.6799	6327
I IB	01/02/1991	2328.45	2328.45	2313.6201	2327.9199	7293
I IB	04/02/1991	2339.6201	2375.0901	2339.6201	2373.9299	3877
I IB	05/02/1991	2389.8601	2403.74	2389.8601	2398.8501	7411
