"","countries","year","fert_index"
"1","Aruba",1960,4.82
"3","Afghanistan",1960,7.45
"4","Angola",1960,7.379
"5","Albania",1960,6.489
"6","Arab World",1960,6.9243755235842
"7","United Arab Emirates",1960,6.928
"8","Argentina",1960,3.109
"9","Armenia",1960,4.55
"11","Antigua and Barbuda",1960,4.425
"12","Australia",1960,3.453
"13","Austria",1960,2.69
"14","Azerbaijan",1960,5.571
"15","Burundi",1960,6.953
"16","Belgium",1960,2.54
"17","Benin",1960,6.282
"18","Burkina Faso",1960,6.291
"19","Bangladesh",1960,6.725
"20","Bulgaria",1960,2.31
"21","Bahrain",1960,7.09
"22","Bahamas, The",1960,4.495
"23","Bosnia and Herzegovina",1960,3.77
"24","Belarus",1960,2.67
"25","Belize",1960,6.5
"27","Bolivia",1960,6.7
"28","Brazil",1960,6.21
"29","Barbados",1960,4.333
"30","Brunei Darussalam",1960,6.487
"31","Bhutan",1960,6.67
"32","Botswana",1960,6.615
"33","Central African Republic",1960,5.84
"34","Canada",1960,3.811
"35","Central Europe and the Baltics",1960,2.49891719956719
"36","Switzerland",1960,2.44
"37","Channel Islands",1960,2.421
"38","Chile",1960,5.113
"39","China",1960,5.754
"40","Cote d'Ivoire",1960,7.351
"41","Cameroon",1960,5.647
"42","Congo, Rep.",1960,5.88
"43","Colombia",1960,6.807
"44","Comoros",1960,6.792
"45","Cabo Verde",1960,6.885
"46","Costa Rica",1960,6.451
"47","Caribbean small states",1960,5.52010293883625
"48","Cuba",1960,4.182
"51","Cyprus",1960,3.5
"52","Czech Republic",1960,2.09
"53","Germany",1960,2.37
"54","Djibouti",1960,6.461
"56","Denmark",1960,2.57
"57","Dominican Republic",1960,7.555
"58","Algeria",1960,7.524
"59","East Asia & Pacific (excluding high income)",1960,5.82369364629829
"60","Early-demographic dividend",1960,6.14556534261695
"61","East Asia & Pacific",1960,5.39430529414956
"62","Europe & Central Asia (excluding high income)",1960,3.15060970170461
"63","Europe & Central Asia",1960,2.83674109422511
"64","Ecuador",1960,6.721
"65","Egypt, Arab Rep.",1960,6.63
"66","Euro area",1960,2.60133501659255
"67","Eritrea",1960,6.899
"68","Spain",1960,2.86
"69","Estonia",1960,1.98
"70","Ethiopia",1960,6.88
"71","European Union",1960,2.58415784390692
"72","Fragile and conflict affected situations",1960,6.57946325852001
"73","Finland",1960,2.72
"74","Fiji",1960,6.461
"75","France",1960,2.85
"77","Micronesia, Fed. Sts.",1960,6.934
"78","Gabon",1960,4.384
"79","United Kingdom",1960,2.69
"80","Georgia",1960,2.964
"81","Ghana",1960,6.749
"83","Guinea",1960,6.114
"84","Gambia, The",1960,5.573
"85","Guinea-Bissau",1960,5.921
"86","Equatorial Guinea",1960,5.505
"87","Greece",1960,2.23
"88","Grenada",1960,6.743
"90","Guatemala",1960,6.534
"91","Guam",1960,6.052
"92","Guyana",1960,5.754
"93","High income",1960,3.00554712797232
"94","Hong Kong SAR, China",1960,5.162
"95","Honduras",1960,7.458
"96","Heavily indebted poor countries (HIPC)",1960,6.71566177067228
"97","Croatia",1960,2.332
"98","Haiti",1960,6.324
"99","Hungary",1960,2.02
"100","IBRD only",1960,5.41880473797208
"101","IDA & IBRD total",1960,5.62871279295073
"102","IDA total",1960,6.55203021319904
"103","IDA blend",1960,6.3383310207687
"104","Indonesia",1960,5.666
"105","IDA only",1960,6.68321215674424
"107","India",1960,5.906
"109","Ireland",1960,3.78
"110","Iran, Islamic Rep.",1960,6.927
"111","Iraq",1960,6.252
"112","Iceland",1960,4.29
"113","Israel",1960,3.866
"114","Italy",1960,2.37
"115","Jamaica",1960,5.419
"116","Jordan",1960,7.687
"117","Japan",1960,2.001
"118","Kazakhstan",1960,4.563
"119","Kenya",1960,7.946
"120","Kyrgyz Republic",1960,5.166
"121","Cambodia",1960,6.967
"122","Kiribati",1960,6.788
"124","Korea, Rep.",1960,6.155
"126","Kuwait",1960,7.243
"127","Latin America & Caribbean (excluding high income)",1960,6.05923786637994
"128","Lao PDR",1960,5.961
"129","Lebanon",1960,5.739
"130","Liberia",1960,6.406
"131","Libya",1960,7.202
"132","St. Lucia",1960,6.967
"133","Latin America & Caribbean",1960,5.96342052664239
"134","Least developed countries: UN classification",1960,6.65621646481776
"135","Low income",1960,6.50102548344838
"137","Sri Lanka",1960,5.541
"138","Lower middle income",1960,5.92974934093149
"139","Low & middle income",1960,5.66520868118114
"140","Lesotho",1960,5.839
"141","Late-demographic dividend",1960,5.18431404749848
"142","Lithuania",1960,2.56
"143","Luxembourg",1960,2.29
"144","Latvia",1960,1.94
"145","Macao SAR, China",1960,4.945
"147","Morocco",1960,7.065
"149","Moldova",1960,3.328
"150","Madagascar",1960,7.3
"151","Maldives",1960,7.021
"152","Middle East & North Africa",1960,6.86043349873209
"153","Mexico",1960,6.768
"155","Middle income",1960,5.60189658236979
"156","Macedonia, FYR",1960,3.842
"157","Mali",1960,6.967
"158","Malta",1960,3.62
"159","Myanmar",1960,6.051
"160","Middle East & North Africa (excluding high income)",1960,6.92009140311802
"161","Montenegro",1960,3.603
"162","Mongolia",1960,6.953
"164","Mozambique",1960,6.6
"165","Mauritania",1960,6.775
"166","Mauritius",1960,6.167
"167","Malawi",1960,6.94
"168","Malaysia",1960,6.194
"169","North America",1960,3.66833100544864
"170","Namibia",1960,6.15
"171","New Caledonia",1960,6.278
"172","Niger",1960,7.407
"173","Nigeria",1960,6.354
"174","Nicaragua",1960,7.336
"175","Netherlands",1960,3.12
"176","Norway",1960,2.85
"177","Nepal",1960,5.959
"179","New Zealand",1960,4.129
"180","OECD members",1960,3.23589453029764
"181","Oman",1960,7.247
"182","Other small states",1960,5.05578997825337
"183","Pakistan",1960,6.6
"184","Panama",1960,5.87
"185","Peru",1960,6.971
"186","Philippines",1960,7.148
"188","Papua New Guinea",1960,6.275
"189","Poland",1960,2.98
"190","Pre-demographic dividend",1960,6.62976329644365
"191","Puerto Rico",1960,4.657
"192","Korea, Dem. People’s Rep.",1960,4.579
"193","Portugal",1960,3.16
"194","Paraguay",1960,6.5
"195","Pacific island small states",1960,6.76739450846177
"196","Post-demographic dividend",1960,2.90423913339532
"197","French Polynesia",1960,5.658
"198","Qatar",1960,6.971
"199","Romania",1960,2.34
"200","Russian Federation",1960,2.52
"201","Rwanda",1960,8.187
"202","South Asia",1960,6.04565800626695
"203","Saudi Arabia",1960,7.216
"204","Sudan",1960,6.691
"205","Senegal",1960,6.951
"206","Singapore",1960,5.454
"207","Solomon Islands",1960,6.388
"208","Sierra Leone",1960,5.97
"209","El Salvador",1960,6.674
"211","Somalia",1960,7.25
"213","Sub-Saharan Africa (excluding high income)",1960,6.6200442143153
"214","South Sudan",1960,6.721
"215","Sub-Saharan Africa",1960,6.6200442143153
"216","Small states",1960,5.27965692133616
"217","Sao Tome and Principe",1960,6.242
"218","Suriname",1960,6.608
"219","Slovak Republic",1960,3.04
"220","Slovenia",1960,2.341
"221","Sweden",1960,2.17
"222","Swaziland",1960,6.717
"225","Syrian Arab Republic",1960,7.467
"227","Chad",1960,6.25
"228","East Asia & Pacific (IDA & IBRD countries)",1960,5.8438971406409
"229","Europe & Central Asia (IDA & IBRD countries)",1960,3.12433290726902
"230","Togo",1960,6.521
"231","Thailand",1960,6.147
"232","Tajikistan",1960,6.235
"233","Turkmenistan",1960,6.415
"234","Latin America & the Caribbean (IDA & IBRD countries)",1960,6.04644960586657
"235","Middle East & North Africa (IDA & IBRD countries)",1960,6.92009140311802
"236","Timor-Leste",1960,6.373
"237","Tonga",1960,7.363
"238","South Asia (IDA & IBRD)",1960,6.04565800626695
"239","Sub-Saharan Africa (IDA & IBRD countries)",1960,6.6200442143153
"240","Trinidad and Tobago",1960,5.264
"241","Tunisia",1960,7.043
"242","Turkey",1960,6.303
"244","Tanzania",1960,6.806
"245","Uganda",1960,6.999
"246","Ukraine",1960,2.24
"247","Upper middle income",1960,5.33163530575638
"248","Uruguay",1960,2.88
"249","United States",1960,3.654
"250","Uzbekistan",1960,6.707
"251","St. Vincent and the Grenadines",1960,7.224
"252","Venezuela, RB",1960,6.616
"254","Virgin Islands (U.S.)",1960,5.615
"255","Vietnam",1960,6.348
"256","Vanuatu",1960,7.197
"258","World",1960,4.98441165561881
"259","Samoa",1960,7.651
"260","Yemen, Rep.",1960,7.38
"261","South Africa",1960,6.173
"262","Congo, Dem. Rep.",1960,6.001
"263","Zambia",1960,7.018
"264","Zimbabwe",1960,7.158
"265","Aruba",1961,4.655
"267","Afghanistan",1961,7.45
"268","Angola",1961,7.388
"269","Albania",1961,6.401
"270","Arab World",1961,6.94642591592048
"271","United Arab Emirates",1961,6.91
"272","Argentina",1961,3.1
"273","Armenia",1961,4.512
"275","Antigua and Barbuda",1961,4.386
"276","Australia",1961,3.54
"277","Austria",1961,2.78
"278","Azerbaijan",1961,5.596
"279","Burundi",1961,6.998
"280","Belgium",1961,2.63
"281","Benin",1961,6.339
"282","Burkina Faso",1961,6.316
"283","Bangladesh",1961,6.761
"284","Bulgaria",1961,2.29
"285","Bahrain",1961,7.132
"286","Bahamas, The",1961,4.496
"287","Bosnia and Herzegovina",1961,3.72
"288","Belarus",1961,2.59
"289","Belize",1961,6.48
"291","Bolivia",1961,6.668
"292","Brazil",1961,6.19
"293","Barbados",1961,4.313
"294","Brunei Darussalam",1961,6.487
"295","Bhutan",1961,6.67
"296","Botswana",1961,6.632
"297","Central African Republic",1961,5.867
"298","Canada",1961,3.753
"299","Central Europe and the Baltics",1961,2.40268598847207
"300","Switzerland",1961,2.52
"301","Channel Islands",1961,2.481
"302","Chile",1961,5.066
"303","China",1961,5.904
"304","Cote d'Ivoire",1961,7.427
"305","Cameroon",1961,5.705
"306","Congo, Rep.",1961,5.921
"307","Colombia",1961,6.801
"308","Comoros",1961,6.849
"309","Cabo Verde",1961,6.922
"310","Costa Rica",1961,6.405
"311","Caribbean small states",1961,5.53257872829705
"312","Cuba",1961,4.36
"315","Cyprus",1961,3.471
"316","Czech Republic",1961,2.11
"317","Germany",1961,2.45
"318","Djibouti",1961,6.493
"320","Denmark",1961,2.55
"321","Dominican Republic",1961,7.487
"322","Algeria",1961,7.573
"323","East Asia & Pacific (excluding high income)",1961,5.92993035645083
"324","Early-demographic dividend",1961,6.14406900396788
"325","East Asia & Pacific",1961,5.47178586374103
"326","Europe & Central Asia (excluding high income)",1961,3.0810934334563
"327","Europe & Central Asia",1961,2.82256740529241
"328","Ecuador",1961,6.7
"329","Egypt, Arab Rep.",1961,6.605
"330","Euro area",1961,2.63307085171374
"331","Eritrea",1961,6.868
"332","Spain",1961,2.77
"333","Estonia",1961,1.98
"334","Ethiopia",1961,6.877
"335","European Union",1961,2.59539427666782
"336","Fragile and conflict affected situations",1961,6.60431994505331
"337","Finland",1961,2.72
"338","Fiji",1961,6.281
"339","France",1961,2.87
"341","Micronesia, Fed. Sts.",1961,6.917
"342","Gabon",1961,4.462
"343","United Kingdom",1961,2.78
"344","Georgia",1961,2.965
"345","Ghana",1961,6.789
"347","Guinea",1961,6.127
"348","Gambia, The",1961,5.621
"349","Guinea-Bissau",1961,5.931
"350","Equatorial Guinea",1961,5.515
"351","Greece",1961,2.13
"352","Grenada",1961,6.627
"354","Guatemala",1961,6.512
"355","Guam",1961,6.048
"356","Guyana",1961,5.689
"357","High income",1961,3.01169321543835
"358","Hong Kong SAR, China",1961,5.213
"359","Honduras",1961,7.448
"360","Heavily indebted poor countries (HIPC)",1961,6.72956590896143
"361","Croatia",1961,2.302
"362","Haiti",1961,6.318
"363","Hungary",1961,1.94
"364","IBRD only",1961,5.44804745832023
"365","IDA & IBRD total",1961,5.65678101077082
"366","IDA total",1961,6.56723735103947
"367","IDA blend",1961,6.34489148015191
"368","Indonesia",1961,5.656
"369","IDA only",1961,6.7031535795953
"370","Isle of Man",1961,2.707
"371","India",1961,5.903
"373","Ireland",1961,3.78
"374","Iran, Islamic Rep.",1961,6.924
"375","Iraq",1961,6.364
"376","Iceland",1961,3.88
"377","Israel",1961,3.858
"378","Italy",1961,2.42
"379","Jamaica",1961,5.529
"380","Jordan",1961,7.802
"381","Japan",1961,2.05
"382","Kazakhstan",1961,4.514
"383","Kenya",1961,7.998
"384","Kyrgyz Republic",1961,5.255
"385","Cambodia",1961,6.964
"386","Kiribati",1961,6.803
"388","Korea, Rep.",1961,5.989
"390","Kuwait",1961,7.27
"391","Latin America & Caribbean (excluding high income)",1961,6.05854686894963
